Pathways	Compounds_of_pathway	Enzymes_of_pathway	Genes_of_pathway	Reactions_of_pathway	Reactants_of_pathway	Products_of_pathway	Ontology_parents_of_class
PWY-7211	CARBAMATE // CPD-18238 // E- // AMMONIUM // DCTP // DUTP // TTP // TDP // DUDP // Red-Thioredoxin // DCDP // Ox-Thioredoxin // CDP // DIHYDROFOLATE-GLU-N // TMP // METHYLENE-THF-GLU-N // DUMP // HCO3 // L-ASPARTATE // CARBAMOYL-P // CARBAMYUL-L-ASPARTATE // PRPP // PPI // CARBON-DIOXIDE // OROTIDINE-5-PHOSPHATE // OROTATE // ETR-Quinols // ETR-Quinones // DI-H-OROTATE // UMP // UDP // GLT // CTP // Pi // ADP // PROTON // ATP // UTP // GLN // WATER	AT2G22530-MONOMER // MONOMERQT-8321 // AT4G24890-MONOMER // AT4G29710-MONOMER // MONOMERQT-7724 // AT4G29700-MONOMER // AT4G29690-MONOMER // AT4G29680-MONOMER // CPLX-8617 // AT5G59440-MONOMER // AT1G48030-MONOMER // CPLXQT-14 // CPLXQT-6 // CPLXQT-13 // AT5G66005-MONOMER // AT2G02970-MONOMER // AT1G14250-MONOMER // AT4G19180-MONOMER // AT1G14230-MONOMER // AT1G14240-MONOMER // AT4G34570-MONOMER // AT2G16370-MONOMER // AT2G21550-MONOMER // CPLXQT-47 // AT3G20330-MONOMER // AT4G22930-MONOMER // AT3G54470-MONOMER // AT5G26667-MONOMER // AT3G10030-MONOMER // AT4G25280-MONOMER // MONOMERQT-8424 // MONOMERQT-8675 // AT3G60961-MONOMER // AT4G23895-MONOMER // CPLX-8615 // AT4G23900-MONOMER // AT1G17410-MONOMER // AT4G11010-MONOMER // AT5G63310-MONOMER // MONOMERQT-8371 // AT3G12670-MONOMER // AT1G30820-MONOMER // AT2G34890-MONOMER // AT4G20320-MONOMER	AT2G22530 // AT4G13720 // AT4G24890 // AT4G29710 // AT5G50400 // AT4G29700 // AT4G29690 // AT4G29680 // AT3G46940 // AT5G59440 // AT1G48030 // AT3G27060 // AT2G21790 // AT3G23580 // AT5G40942 // AT5G66005 // AT2G02970 // AT1G14250 // AT4G19180 // AT1G14230 // AT1G14240 // AT4G34570 // AT2G16370 // AT2G21550 // AT1G29900 // AT3G27740 // AT3G20330 // AT4G22930 // AT3G54470 // AT5G26667 // AT3G10030 // AT4G25280 // AT3G60180 // AT3G18680 // AT3G60961 // AT4G23895 // AT4G09320 // AT4G23900 // AT1G17410 // AT4G11010 // AT5G63310 // AT4G02120 // AT3G12670 // AT1G30820 // AT2G34890 // AT4G20320	CTPSYN-RXN // UDPKIN-RXN // RXN-12002 // DIHYDROOROTATE-DEHYDROGENASE-RXN // OROTPDECARB-RXN // OROPRIBTRANS-RXN // DIHYDROOROT-RXN // ASPCARBTRANS-RXN // CARBPSYN-RXN // THYMIDYLATESYN-RXN // RXN-12195 // CDPREDUCT-RXN // UDPREDUCT-RXN // DTDPKIN-RXN // DTMPKI-RXN // DUTP-PYROP-RXN // DUDPKIN-RXN // DCDPKIN-RXN			Pyrimid-Deoxyribonucleot-De-Novo-Biosyn // Super-Pathways
PWY0-166	AMMONIUM // PPI // ADP // TTP // TDP // ATP // Red-Thioredoxin // Ox-Thioredoxin // UDP // DUDP // Reduced-NrdH-Proteins // DCDP // Oxidized-NrdH-Proteins // DUTP // UTP // CARBON-DIOXIDE // DCTP // FORMATE // DIHYDROFOLATE-GLU-N // TMP // METHYLENE-THF-GLU-N // DUMP // CDP // Pi // PROTON // WATER // CTP	AT2G22530-MONOMER // MONOMERQT-8321 // AT4G24890-MONOMER // AT4G29710-MONOMER // MONOMERQT-7724 // AT4G29700-MONOMER // AT4G29690-MONOMER // AT4G29680-MONOMER // CPLX-8617 // AT5G59440-MONOMER // AT1G48030-MONOMER // AT4G23895-MONOMER // CPLX-8615 // AT4G23900-MONOMER // AT1G17410-MONOMER // AT4G11010-MONOMER // AT5G63310-MONOMER // CPLXQT-14 // CPLXQT-6 // CPLXQT-13 // AT5G66005-MONOMER // AT2G02970-MONOMER // AT1G14250-MONOMER // AT4G19180-MONOMER // AT1G14230-MONOMER // AT1G14240-MONOMER // AT4G34570-MONOMER // AT2G16370-MONOMER // AT2G21550-MONOMER	AT2G22530 // AT4G13720 // AT4G24890 // AT4G29710 // AT5G50400 // AT4G29700 // AT4G29690 // AT4G29680 // AT3G46940 // AT5G59440 // AT1G48030 // AT4G23895 // AT4G09320 // AT4G23900 // AT1G17410 // AT4G11010 // AT5G63310 // AT3G27060 // AT2G21790 // AT3G23580 // AT5G40942 // AT5G66005 // AT2G02970 // AT1G14250 // AT4G19180 // AT1G14230 // AT1G14240 // AT4G34570 // AT2G16370 // AT2G21550	RXN-12195 // THYMIDYLATESYN-RXN // RXN0-723 // RXN0-724 // RIBONUCLEOSIDE-DIP-REDUCTII-RXN // RXN0-722 // CDPREDUCT-RXN // UDPREDUCT-RXN // DTDPKIN-RXN // DTMPKI-RXN // DUTP-PYROP-RXN // DUDPKIN-RXN // DCTP-DEAM-RXN // DCDPKIN-RXN	METHYLENE-THF-GLU-N // FORMATE // CTP // UTP // CDP // Reduced-NrdH-Proteins // UDP // Red-Thioredoxin // ATP	DIHYDROFOLATE-GLU-N // CARBON-DIOXIDE // Oxidized-NrdH-Proteins // Ox-Thioredoxin // TTP // ADP // PPI // AMMONIUM	Pyrimid-Deoxyribonucleot-De-Novo-Biosyn // Super-Pathways
PWY-7208	AMMONIUM // UDP // GLT // CTP // Pi // ADP // PROTON // ATP // UTP // GLN // WATER // URACIL // PRPP // PPI // UMP	AT5G26667-MONOMER // AT3G10030-MONOMER // AT4G25280-MONOMER // MONOMERQT-8424 // MONOMERQT-8675 // AT3G60961-MONOMER // AT4G23895-MONOMER // CPLX-8615 // AT4G23900-MONOMER // AT1G17410-MONOMER // AT4G11010-MONOMER // AT5G63310-MONOMER // MONOMERQT-8371 // AT3G12670-MONOMER // AT1G30820-MONOMER // AT2G34890-MONOMER // AT4G20320-MONOMER // AT3G53900-MONOMER // AT5G40870-MONOMER // MONOMERQT-9434 // AT3G27190-MONOMER // AT3G27440-MONOMER // AT4G26510-MONOMER	AT5G26667 // AT3G10030 // AT4G25280 // AT3G60180 // AT3G18680 // AT3G60961 // AT4G23895 // AT4G09320 // AT4G23900 // AT1G17410 // AT4G11010 // AT5G63310 // AT4G02120 // AT3G12670 // AT1G30820 // AT2G34890 // AT4G20320 // AT3G53900 // AT5G40870 // AT1G55810 // AT3G27190 // AT3G27440 // AT4G26510	URACIL-PRIBOSYLTRANS-RXN // CTPSYN-RXN // UDPKIN-RXN // RXN-12002			Pyrimidine-Nucleotide-Salvage // Super-Pathways
PWY-7196	AMMONIUM // D-Ribofuranose // URIDINE // CYTIDINE // URACIL // PRPP // PPI // UMP // UDP // GLT // Pi // PROTON // UTP // GLN // WATER // CTP // CDP // ADP // ATP // CMP	AT2G36310-MONOMER // AT2G19570-MONOMER // CPLX-8106 // AT4G29580-MONOMER // AT4G29610-MONOMER // AT4G29650-MONOMER // AT4G29630-MONOMER // AT4G29570-MONOMER // AT4G29640-MONOMER // AT4G29620-MONOMER // AT4G29600-MONOMER // AT2G01460-MONOMER // AT1G73980-MONOMER // AT1G26190-MONOMER // MONOMERQT-9742 // AT3G53900-MONOMER // AT5G40870-MONOMER // MONOMERQT-9434 // AT3G27190-MONOMER // AT3G27440-MONOMER // AT4G26510-MONOMER // AT3G10030-MONOMER // MONOMERQT-8675 // MONOMERQT-8371 // AT3G12670-MONOMER // AT1G30820-MONOMER // AT2G34890-MONOMER // AT4G20320-MONOMER // AT4G23895-MONOMER // CPLX-8615 // AT4G23900-MONOMER // AT1G17410-MONOMER // AT4G11010-MONOMER // AT5G63310-MONOMER // AT5G26667-MONOMER // AT4G25280-MONOMER // MONOMERQT-8424 // AT3G60961-MONOMER	AT2G36310 // AT2G19570 // AT4G29580 // AT4G29610 // AT4G29650 // AT4G29630 // AT4G29570 // AT4G29640 // AT4G29620 // AT4G29600 // AT2G01460 // AT1G73980 // AT1G26190 // AT1G03030 // AT3G53900 // AT5G40870 // AT1G55810 // AT3G27190 // AT3G27440 // AT4G26510 // AT3G10030 // AT3G18680 // AT4G02120 // AT3G12670 // AT1G30820 // AT2G34890 // AT4G20320 // AT4G23895 // AT4G09320 // AT4G23900 // AT1G17410 // AT4G11010 // AT5G63310 // AT5G26667 // AT4G25280 // AT3G60180 // AT3G60961	RXN-11832 // CDPKIN-RXN // CTPSYN-RXN // UDPKIN-RXN // RXN-12002 // URACIL-PRIBOSYLTRANS-RXN // CYTIKIN-RXN // URIDINEKIN-RXN // URIDINE-NUCLEOSIDASE-RXN // CYTIDEAM2-RXN			Pyrimidine-Nucleotide-Salvage // Super-Pathways
PWY0-162	CARBAMATE // CPD-18238 // E- // AMMONIUM // HCO3 // L-ASPARTATE // CARBAMOYL-P // CARBAMYUL-L-ASPARTATE // PRPP // PPI // CARBON-DIOXIDE // OROTIDINE-5-PHOSPHATE // OROTATE // ETR-Quinols // ETR-Quinones // DI-H-OROTATE // UMP // UDP // GLT // CTP // Pi // ADP // PROTON // ATP // UTP // GLN // WATER	CPLXQT-47 // AT3G20330-MONOMER // AT4G22930-MONOMER // AT3G54470-MONOMER // AT5G26667-MONOMER // AT3G10030-MONOMER // AT4G25280-MONOMER // MONOMERQT-8424 // MONOMERQT-8675 // AT3G60961-MONOMER // AT4G23895-MONOMER // CPLX-8615 // AT4G23900-MONOMER // AT1G17410-MONOMER // AT4G11010-MONOMER // AT5G63310-MONOMER // MONOMERQT-8371 // AT3G12670-MONOMER // AT1G30820-MONOMER // AT2G34890-MONOMER // AT4G20320-MONOMER	AT1G29900 // AT3G27740 // AT3G20330 // AT4G22930 // AT3G54470 // AT5G26667 // AT3G10030 // AT4G25280 // AT3G60180 // AT3G18680 // AT3G60961 // AT4G23895 // AT4G09320 // AT4G23900 // AT1G17410 // AT4G11010 // AT5G63310 // AT4G02120 // AT3G12670 // AT1G30820 // AT2G34890 // AT4G20320	CTPSYN-RXN // UDPKIN-RXN // RXN-12002 // DIHYDROOROTATE-DEHYDROGENASE-RXN // OROTPDECARB-RXN // OROPRIBTRANS-RXN // DIHYDROOROT-RXN // ASPCARBTRANS-RXN // CARBPSYN-RXN			Pyrimid-Ribonucleot-De-Novo-Biosyn // Super-Pathways
PWY-7186	AMMONIUM // PHE // CPD-674 // Ox-NADPH-Hemoprotein-Reductases // Red-NADPH-Hemoprotein-Reductases // CPD-676 // CARBON-DIOXIDE // SUC // CPD-15073 // FERULIC-ACID // 2-KETOGLUTARATE // OXYGEN-MOLECULE // CPD-15076 // UDP // SCOPOLIN // CPD-12575 // Glucopyranose // CPD-14461 // WATER // COUMARATE // CPD-14005 // CPD-8186 // CPD-15147 // PROTON // ADENOSYL-HOMO-CYS // SCOPOLETIN // S-ADENOSYLMETHIONINE // CPD-8097	AT3G53260-MONOMER // AT5G04230-MONOMER // AT2G37040-MONOMER // AT3G10340-MONOMER // AT2G30490-MONOMER // AT2G40890-MONOMER // AT5G54160-MONOMER // AT4G26220-MONOMER // AT1G51990-MONOMER // AT1G33030-MONOMER // AT1G66270-MONOMER // AT3G09260-MONOMER // AT1G66280-MONOMER // AT5G48175-MONOMER	AT3G53260 // AT5G04230 // AT2G37040 // AT3G10340 // AT2G30490 // AT2G40890 // AT5G54160 // AT4G26220 // AT1G51990 // AT1G33030 // AT1G66270 // AT3G09260 // AT1G66280 // AT5G48175	RXN-13473 // RXN-14168 // RXN-14166 // RXN-14167 // RXN-14165 // RXN-13470 // SCOPOLETIN-GLUCOSYLTRANSFERASE-RXN // RXN-14072 // RXN-14071 // RXN-14070 // RXN-1104 // RXN-1103 // TRANS-CINNAMATE-4-MONOOXYGENASE-RXN // PHENYLALANINE-AMMONIA-LYASE-RXN	S-ADENOSYLMETHIONINE // COUMARATE // Glucopyranose // CPD-12575 // 2-KETOGLUTARATE // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases	ADENOSYL-HOMO-CYS // PROTON // CPD-14461 // WATER // SCOPOLIN // UDP // SUC // CARBON-DIOXIDE // Ox-NADPH-Hemoprotein-Reductases	COUMARIN-SYN // Super-Pathways
PWY-6395	2-AMINOACRYLATE // CPD-16015 // ACET // Pi // O-PHOSPHO-L-HOMOSERINE // PYRUVATE // CPD-13717 // CPD-1301 // SELENOMETHIONINE // SELENOHOMOCYSTEINE // CPD-1302 // CO-A // ACETYLSERINE // SER // ACETYL-COA // PPI // SELENATE // ATP // CPD-13713 // AMP // OXIDIZED-GLUTATHIONE // SELENITE // CPD-678 // NADPH // CPD-13908 // CPD-13909 // GLUTATHIONE // NADP // ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // L-SELENOCYSTEINE // CPD-12006 // CPD-12024 // CARBON-DIOXIDE // CPD-12025 // HYDROGEN-PEROXIDE // AMMONIUM // CPD-13719 // OXYGEN-MOLECULE // Donor-H2 // CPD-13720 // Acceptor // WATER // PROTON // ACRYLATE // CPD-12005 // CPD-13770	CPLX-1344 // CPLX-1345 // AT2G17640-MONOMER // AT4G35640-MONOMER // AT1G55920-MONOMER // AT3G13110-MONOMER // AT5G56760-MONOMER // CPLX-1324 // CPLX-1323 // CPLX-1322 // AT3G22890-MONOMER // AT5G49810-MONOMER	AT3G01120 // AT3G57050 // AT2G17640 // AT4G35640 // AT5G56760 // AT1G55920 // AT3G13110 // AT3G22890 // AT5G49810	RXN-12762 // RXN-12733 // RXN-12732 // RXN-12731 // RXN-11063 // RXN-11061 // RXN-12865 // RXN-12867 // RXN-12864 // RXN-12721 // RXN-12720 // SERINE-O-ACETTRAN-RXN // RXN-12730 // RXN-12729 // RXN-12728 // RXN-12726 // RXN-11064 // RXN-11062			Other-Amino-Acid-Biosynthesis // Seleno-Amino-Acid-Detoxification // Super-Pathways
PWYQT-4466	Phosphorylated-phosphoglucomutase // ALPHA-GLUCOSE-16-BISPHOSPHATE // Phosphoglucomutase // FRUCTOSE-6P // Glucopyranose // BETA-D-FRUCTOSE // SUCROSE // ATP // Starch // CPD-7043 // Alpha-Amyloses // ADP // ADP-D-GLUCOSE // 1-4-alpha-D-Glucan // Alpha-6-alpha-14-glucans // Malto-Oligosaccharides // WATER // D-glucopyranose-6-phosphate // GLC-6-P // ALPHA-GLC-6-P // PPI // CPD-12575 // PROTON // GLC-1-P // UTP	AT3G54090-MONOMER // AT1G66430-MONOMER // AT1G69200-MONOMER // AT4G10260-MONOMER // AT1G06030-MONOMER // AT3G59480-MONOMER // AT2G31390-MONOMER // AT5G51830-MONOMER // AT1G50390-MONOMER // AT1G06020-MONOMER // AT4G29130-MONOMER // AT2G19860-MONOMER // AT1G47840-MONOMER // AT1G50460-MONOMER // AT3G20040-MONOMER // AT4G37840-MONOMER // AT5G62573-MONOMER // AT1G47845-MONOMER // AT1G35580-MONOMER // AT1G56560-MONOMER // AT4G09510-MONOMER // AT5G22510-MONOMER // AT3G13790-MONOMER // AT2G36190-MONOMER // MONOMERQT-8812 // AT1G72000-MONOMER // MONOMERQT-9592 // AT1G27680-MONOMER // AT2G21590-MONOMER // AT4G39210-MONOMER // CPLX-1623 // AT5G48300-MONOMER // MONOMERQT-9717 // AT5G65685-MONOMER // AT1G11720-MONOMER // AT4G18240-MONOMER // AT3G01180-MONOMER // AT5G24300-MONOMER // AT2G36390-MONOMER // AT5G03650-MONOMER // AT1G32900-MONOMER // CPLX-8667 // AT4G24620-MONOMER // MONOMERQT-7796 // MONOMERQT-7604 // AT5G57330-MONOMER // MONOMERQT-7969 // AT4G25900-MONOMER // MONOMERQT-8221 // MONOMERQT-8409 // MONOMERQT-8844 // AT1G23190-MONOMER // MONOMERQT-9318 // MONOMERQT-7942 // AT1G70820-MONOMER // AT5G51820-MONOMER // AT5G52560-MONOMER // AT2G35020-MONOMER // CPLX-1582 // AT5G17310-MONOMER // AT3G56040-MONOMER	AT3G54090 // AT1G66430 // AT1G69200 // AT4G10260 // AT1G06030 // AT3G59480 // AT2G31390 // AT5G51830 // AT1G50390 // AT1G06020 // AT4G29130 // AT2G19860 // AT1G47840 // AT1G50460 // AT3G20040 // AT4G37840 // AT5G62573 // AT1G47845 // AT1G35580 // AT1G56560 // AT4G09510 // AT5G22510 // AT3G13790 // AT2G36190 // AT3G05820 // AT1G72000 // AT1G22650 // AT1G27680 // AT2G21590 // AT4G39210 // AT5G19220 // AT5G48300 // AT1G05610 // AT5G65685 // AT1G11720 // AT4G18240 // AT3G01180 // AT5G24300 // AT2G36390 // AT5G03650 // AT1G32900 // AT2G39930 // AT1G03310 // AT4G24620 // AT5G42740 // AT5G66530 // AT5G57330 // AT5G14500 // AT4G25900 // AT4G23730 // AT3G61610 // AT3G01590 // AT1G23190 // AT1G70730 // AT5G17530 // AT1G70820 // AT5G51820 // AT5G52560 // AT2G35020 // AT3G03250 // AT5G17310 // AT3G56040	GLUC1PURIDYLTRANS-RXN // GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN // PHOSPHOGLUCMUT-RXN // RXN-14380 // RXN-14378 // RXN-14374 // RXN-14373 // RXN-14371 // RXN-14372 // GLYCOGENSYN-RXN // GLUC1PADENYLTRANS-RXN // 3.2.1.48-RXN // GLUCOKIN-RXN // PGLUCISOM-RXN // FRUCTOKINASE-RXN	CPD-12575 // PPI // D-glucopyranose-6-phosphate	PROTON // GLC-1-P // UTP	Super-Pathways
PWY-6612	ADP // DIHYDROFOLATE // 7-8-DIHYDROPTEROATE // NADPH // DIHYDROFOLATE-GLU-N // THF-GLU-N // NADP // AMP // DIHYDROPTERIN-CH2OH-PP // ATP // AMINO-OH-HYDROXYMETHYL-DIHYDROPTERIDINE // GLYCOLALDEHYDE // Pi // DIHYDRO-NEO-PTERIN // PPI // DIHYDRONEOPTERIN-P // DIHYDRONEOPTERIN-P3 // FORMATE // GTP // WATER // GLT // GLN // CHORISMATE // PYRUVATE // P-AMINO-BENZOATE // PROTON // 4-AMINO-4-DEOXYCHORISMATE	AT5G41480-MONOMER // AT2G21550-MONOMER // AT4G34570-MONOMER // AT2G16370-MONOMER // MONOMERQT-8215 // AT1G69190-MONOMER // AT4G30000-MONOMER // MONOMERQT-9138 // CPLX-7907 // AT3G21730-MONOMER // AT5G62980-MONOMER // AT1G68760-MONOMER // AT3G07270-CPLX // AT2G28880-MONOMER // AT5G57850-MONOMER // MONOMERQT-8482	AT5G41480 // AT2G21550 // AT4G34570 // AT2G16370 // AT4G24380 // AT1G69190 // AT4G30000 // AT2G19180 // AT3G11750 // AT3G21730 // AT5G62980 // AT1G68760 // AT3G07270 // AT2G28880 // AT5G57850 // AT3G54970	ADCLY-RXN // PABASYN-RXN // GTP-CYCLOHYDRO-I-RXN // H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN // DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN // H2NEOPTERINALDOL-RXN // H2PTERIDINEPYROPHOSPHOKIN-RXN // DIHYDROFOLATEREDUCT-RXN // DIHYDROFOLATESYNTH-RXN // H2PTEROATESYNTH-RXN			Folate-Biosynthesis // Super-Pathways
THISYNARA-PWY	ADP // CARBON-MONOXIDE // FORMATE // MET // CH33ADO // AMINO-HYDROXYMETHYL-METHYL-PYR-P // S-ADENOSYLMETHIONINE // 5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE // PPI // AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP // Pi // THIAMINE-P // THIAMINE-PYROPHOSPHATE // THIAMINE // ATP // CPD-17449 // NIACINAMIDE // GLY // PROT-CYS // NAD // PROTON // CARBON-DIOXIDE // THZ-P // AMP // CPDQT-400 // WATER	AT2G29630-MONOMER // AT1G22940-MONOMER // AT1G21065-MONOMER // AT4G29530-MONOMER // AT2G44750-MONOMER // AT1G02880-MONOMER // AT5G19460-MONOMER // MONOMERQT-7924 // CPLXQT-40	AT2G29630 // AT1G22940 // AT1G21065 // AT4G29530 // AT2G44750 // AT1G02880 // AT5G19460 // AT5G19470 // AT5G54770	RXNQT-4301 // RXNQT-4300 // THIAMIN-PYROPHOSPHOKINASE-RXN // RXNQT-4191 // THI-P-SYN-RXN // PYRIMSYN1-RXN // PYRIMSYN3-RXN			Super-Pathways // Thiamine-Biosynthesis
PWY-5391	CARBON-DIOXIDE // SUC // 2-KETOGLUTARATE // MYRICETIN // ADENOSYL-HOMO-CYS // SYRINGETIN // S-ADENOSYLMETHIONINE // CPD-8605 // PROTON // DIHYDROKAEMPFEROL-CMPD // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-7087 // CPD-474 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases	AT3G55970-MONOMER // AT5G43935-MONOMER // AT5G48020-MONOMER // MONOMERQT-7631 // AT5G63590-MONOMER // AT5G63595-MONOMER // MONOMERQT-7630 // AT5G54160-MONOMER // AT5G07990-MONOMER	AT3G55970 // AT5G43935 // AT5G48020 // AT5G63580 // AT5G63590 // AT5G63595 // AT5G63600 // AT5G54160 // AT5G07990	RXN-13718 // RXN-525 // RXN-8452 // RXN-8451 // RXN-8450	OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // DIHYDROKAEMPFEROL-CMPD // S-ADENOSYLMETHIONINE // 2-KETOGLUTARATE	Ox-NADPH-Hemoprotein-Reductases // WATER // PROTON // SYRINGETIN // ADENOSYL-HOMO-CYS // SUC // CARBON-DIOXIDE	FLAVONOL-SYN
PWY-5690	Oxo-glutarate-dehydrogenase-lipoyl // Oxo-glutarate-dehydro-suc-DH-lipoyl // Oxo-glutarate-dehydrogenase-DH-lipoyl // E- // Pi // ADP // ATP // SUC-COA // CO-A // ACETYL-COA // WATER // CIS-ACONITATE // CIT // 2-KETOGLUTARATE // CARBON-DIOXIDE // THREO-DS-ISO-CITRATE // NADH // OXALACETIC_ACID // PROTON // MAL // NAD // FUM // ETR-Quinols // ETR-Quinones // SUC	AT5G50950-MONOMER // AT2G47510-MONOMER // AT2G20420-MONOMER // AT5G23250-MONOMER // AT5G08300-MONOMER // AT2G44350-MONOMER // AT3G58740-MONOMER // MONOMERQT-8426 // AT2G11270-MONOMER // AT2G05710-MONOMER // AT4G35830-MONOMER // AT4G26970-MONOMER // AT5G54950-MONOMER // AT2G17130-MONOMER // AT3G09810-MONOMER // AT4G35260-MONOMER // AT4G35650-MONOMER // AT5G03290-MONOMER // CPLXQT-51 // AT1G32480-MONOMER // CPLXQT-52 // CPLXQT-53 // CPLXQT-54 // AT5G09660-MONOMER // AT3G47520-MONOMER // AT3G15020-MONOMER // AT2G22780-MONOMER // AT1G53240-MONOMER // AT5G56720-MONOMER // AT1G04410-MONOMER // AT5G43330-MONOMER // AT3G53910-MONOMER // AT5G62575-MONOMER // AT3G47833-MONOMER // AT2G46390-MONOMER // AT1G47420-MONOMER // AT1G08480-MONOMER // AT2G46505-MONOMER // CPLX-5301 // AT3G27380-MONOMER	AT5G50950 // AT2G47510 // AT2G20420 // AT5G23250 // AT5G08300 // AT2G44350 // AT3G58740 // AT3G60100 // AT2G11270 // AT2G05710 // AT4G35830 // AT4G26970 // AT5G54950 // AT3G09810 // AT4G35260 // AT4G35650 // AT5G03290 // AT2G17130 // AT1G32480 // AT4G00570 // AT2G13560 // AT5G09660 // AT3G47520 // AT3G15020 // AT2G22780 // AT1G53240 // AT5G56720 // AT1G04410 // AT5G43330 // AT3G53910 // AT5G62575 // AT5G66760 // AT5G40650 // AT4G32210 // AT2G46505 // AT1G47420 // AT1G08480 // AT3G47833 // AT2G46390 // AT3G27380	RXN-14971 // MALATE-DEH-RXN // ISOCITRATE-DEHYDROGENASE-NAD+-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // ACONITATEHYDR-RXN // 2OXOGLUTARATEDEH-RXN // SUCCCOASYN-RXN // FUMHYDR-RXN	ETR-Quinones // NAD // ACETYL-COA // ADP // Pi	ETR-Quinols // PROTON // NADH // CARBON-DIOXIDE // ATP	TCA-VARIANTS
PWYQT-4481	Oxo-glutarate-dehydrogenase-lipoyl // Oxo-glutarate-dehydro-suc-DH-lipoyl // Oxo-glutarate-dehydrogenase-DH-lipoyl // E- // Pyruvate-dehydrogenase-lipoate // Pyruvate-dehydrogenase-acetylDHlipoyl // Pyruvate-dehydrogenase-dihydrolipoate // 2-ALPHA-HYDROXYETHYL-THPP // THIAMINE-PYROPHOSPHATE // Pi // ADP // ATP // SUC-COA // WATER // CIS-ACONITATE // CIT // FUM // Ubiquinols // SUC // Ubiquinones // 2-KETOGLUTARATE // THREO-DS-ISO-CITRATE // CARBON-DIOXIDE // ACETYL-COA // PYRUVATE // CO-A // NADH // OXALACETIC_ACID // PROTON // MAL // NAD	AT5G50950-MONOMER // AT2G47510-MONOMER // AT2G20420-MONOMER // AT5G23250-MONOMER // AT5G08300-MONOMER // AT2G44350-MONOMER // AT3G58740-MONOMER // MONOMERQT-8426 // AT2G11270-MONOMER // AT2G05710-MONOMER // AT4G35830-MONOMER // AT4G26970-MONOMER // AT5G54950-MONOMER // CPLX-5301 // AT5G09600-MONOMER // AT3G47833-MONOMER // AT1G08480-MONOMER // AT2G46390-MONOMER // AT1G47420-MONOMER // AT5G62575-MONOMER // AT3G27380-MONOMER // AT5G65165-MONOMER // AT2G18450-MONOMER // AT4G32210-MONOMER // AT2G46505-MONOMER // AT2G17130-MONOMER // AT3G09810-MONOMER // AT4G35260-MONOMER // AT4G35650-MONOMER // AT5G03290-MONOMER // CPLXQT-51 // AT1G32480-MONOMER // CPLXQT-52 // CPLXQT-53 // CPLXQT-54 // AT3G47520-MONOMER // AT3G15020-MONOMER // AT1G53240-MONOMER // AT5G56720-MONOMER // AT1G04410-MONOMER // AT5G43330-MONOMER // AT3G53910-MONOMER	AT5G50950 // AT2G47510 // AT2G20420 // AT5G23250 // AT5G08300 // AT2G44350 // AT3G58740 // AT3G60100 // AT2G11270 // AT2G05710 // AT4G35830 // AT4G26970 // AT5G54950 // AT5G66760 // AT5G40650 // AT5G09600 // AT3G47833 // AT1G08480 // AT2G46390 // AT1G47420 // AT5G62575 // AT3G27380 // AT5G65165 // AT2G18450 // AT4G32210 // AT2G46505 // AT3G09810 // AT4G35260 // AT4G35650 // AT5G03290 // AT2G17130 // AT1G32480 // AT4G00570 // AT2G13560 // AT3G47520 // AT3G15020 // AT1G53240 // AT5G56720 // AT1G04410 // AT5G43330 // AT3G53910	MALATE-DEH-RXN // PYRUVDEH-RXN // 1.1.1.39-RXN // ISOCITRATE-DEHYDROGENASE-NAD+-RXN // SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // ACONITATEHYDR-RXN // 2OXOGLUTARATEDEH-RXN // SUCCCOASYN-RXN // FUMHYDR-RXN	NAD // Ubiquinones // ADP // Pi	PROTON // NADH // CARBON-DIOXIDE // Ubiquinols // ATP	TCA-VARIANTS
PWY-6614	PPI // P-AMINO-BENZOATE // DIHYDROPTERIN-CH2OH-PP // ADP // Pi // DIHYDROFOLATE // GLT // 7-8-DIHYDROPTEROATE // ATP // PROTON // NADPH // DIHYDROFOLATE-GLU-N // THF-GLU-N // NADP	AT1G69190-MONOMER // AT4G30000-MONOMER // MONOMERQT-9138 // AT5G41480-MONOMER // AT2G21550-MONOMER // AT4G34570-MONOMER // AT2G16370-MONOMER // MONOMERQT-8215	AT1G69190 // AT4G30000 // AT2G19180 // AT5G41480 // AT2G21550 // AT4G34570 // AT2G16370 // AT4G24380	DIHYDROFOLATEREDUCT-RXN // DIHYDROFOLATESYNTH-RXN // H2PTEROATESYNTH-RXN	DIHYDROFOLATE-GLU-N // NADPH // GLT // ATP // P-AMINO-BENZOATE // DIHYDROPTERIN-CH2OH-PP	THF-GLU-N // NADP // DIHYDROFOLATE // Pi // ADP // PPI	Folate-Biosynthesis
